client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
0,true,32.2,3445116,160,30.85,""
1,true,32.4,3445547,155,26.59,""
2,true,32.6,3445116,155,25.91,""
3,true,30.9,3445547,175,24.80,""
4,true,31.6,3445547,179,26.50,""
5,true,27.3,3445116,172,29.83,""
6,true,32.5,3445547,155,25.45,""
7,true,16.0,3445547,187,26.42,""
8,true,17.6,3445547,188,24.49,""
9,true,31.9,3445547,179,26.99,""
10,true,31.9,3445547,164,30.25,""
11,true,15.9,3445547,198,29.25,""
12,true,4.0,3445116,199,24.47,""
13,true,34.8,3445547,163,26.23,""
14,true,27.2,3445547,174,28.53,""
15,true,26.7,3445547,185,29.87,""
16,true,33.1,3445547,179,27.70,""
17,true,28.0,3445547,174,28.67,""
18,true,28.7,3445547,173,27.68,""
19,true,26.4,3445116,184,30.11,""
20,true,18.5,3445547,187,27.58,""
21,true,27.8,3445547,174,28.24,""
22,true,23.8,3445547,178,26.95,""
23,true,28.0,3445547,174,29.35,""
24,true,28.2,3445547,171,24.79,""
25,true,27.8,3445547,185,28.31,""
26,true,26.4,3445547,174,24.95,""
27,true,18.7,3445547,188,25.14,""
28,true,32.6,3445547,160,29.95,""
29,true,32.7,3445547,160,28.38,""
30,true,28.7,3445547,164,27.19,""
31,true,29.8,3445547,164,28.42,""
32,true,30.4,3445547,162,30.25,""
33,true,30.2,3445547,162,30.95,""
34,true,40.0,3445547,155,26.80,""
35,true,30.5,3445547,179,23.89,""
36,true,31.2,3445547,168,27.49,""
37,true,27.5,3445116,173,26.55,""
38,true,39.9,3445547,159,28.60,""
39,true,31.5,3445547,179,27.24,""
40,true,23.8,3445116,187,30.58,""
41,true,33.2,3445116,179,28.38,""
42,true,15.7,3445116,187,29.25,""
43,true,30.7,3445547,175,24.13,""
44,true,28.3,3445547,164,28.82,""
45,true,28.8,3445547,164,27.22,""
46,true,30.3,3445547,173,30.61,""
47,true,32.6,3445547,155,26.57,""
48,true,30.0,3445547,162,27.55,""
49,true,28.3,3445547,164,29.69,""
50,true,28.3,3445547,164,28.71,""
51,true,28.3,3445547,175,26.16,""
52,true,28.9,3445116,164,26.90,""
53,true,30.4,3445547,157,29.88,""
54,true,32.2,3445547,160,25.50,""
55,true,30.3,3445547,173,28.23,""
56,true,28.3,3445547,164,29.89,""
57,true,29.6,3445547,174,28.20,""
58,true,29.9,3445116,164,27.08,""
59,true,28.6,3445116,164,28.13,""
60,true,30.1,3445547,173,31.47,""
61,true,30.5,3445547,170,27.13,""
62,true,32.8,3445116,161,25.39,""
63,true,32.2,3445547,160,27.30,""
64,true,32.3,3445547,160,27.78,""
65,true,28.3,3445547,164,25.82,""
66,true,28.3,3445116,160,26.36,""
67,true,40.7,3445547,159,26.25,""
68,true,40.5,3445547,159,26.87,""
69,true,40.5,3445547,159,29.70,""
70,true,40.6,3445547,158,27.46,""
71,true,40.6,3445547,159,29.36,""
72,true,40.6,3445547,159,26.12,""
73,true,40.6,3445547,159,28.96,""
74,true,39.7,3445116,155,24.17,""
75,true,26.6,3445547,173,27.17,""
76,true,25.9,3445547,174,29.41,""
77,true,25.6,3445116,185,31.19,""
78,true,26.5,3445547,184,29.99,""
79,true,25.7,3445547,185,28.18,""
80,true,25.8,3445547,175,29.14,""
81,true,25.9,3445547,175,28.91,""
82,true,26.0,3445547,174,28.71,""
83,true,26.2,3445116,174,29.10,""
84,true,26.4,3445547,174,30.61,""
85,true,26.2,3445547,174,25.01,""
86,true,26.4,3445116,185,26.78,""
87,true,26.1,3445547,174,25.43,""
88,true,26.2,3445547,174,30.20,""
89,true,36.9,3445116,174,25.06,""
90,true,26.0,3445547,175,30.08,""
91,true,40.4,3445547,155,30.28,""
92,true,36.9,3445547,174,27.96,""
93,true,33.6,3445116,169,26.19,""
94,true,19.1,3445547,184,28.99,""
95,true,19.1,3445547,184,30.55,""
96,true,13.9,3445116,188,26.48,""
97,true,29.1,3445116,183,26.43,""
98,true,29.1,3445547,172,28.66,""
99,true,13.8,3445547,188,25.79,""
100,true,27.8,3445547,174,30.20,""
101,true,27.6,3445547,185,27.25,""
102,true,27.0,3445547,185,23.64,""
103,true,13.7,3445547,188,27.11,""
104,true,32.3,3445547,160,29.57,""
105,true,8.7,3445547,198,23.74,""
106,true,26.5,3445547,174,28.18,""
107,true,32.2,3445547,169,29.57,""
108,true,27.5,3445547,185,29.49,""
109,true,29.5,3445116,172,25.68,""
110,true,38.4,3445116,162,28.25,""
111,true,37.3,3445547,164,29.06,""
112,true,32.7,3445116,180,29.38,""
113,true,29.1,3445547,173,26.40,""
114,true,38.6,3445116,164,29.11,""
115,true,27.4,3445547,174,29.05,""
116,true,29.9,3445547,180,26.20,""
117,true,33.4,3445547,168,26.95,""
118,true,27.2,3445547,174,25.98,""
119,true,8.7,3445547,192,25.98,""
120,true,32.9,3445116,179,29.89,""
121,true,31.0,3445547,174,26.77,""
122,true,10.5,3445547,192,25.96,""
123,true,8.7,3445547,196,25.74,""
124,true,8.6,3445547,192,28.94,""
125,true,27.4,3445547,183,26.41,""
126,true,26.0,3445547,173,27.35,""
127,true,29.4,3445547,174,27.21,""
128,true,30.2,3445547,163,25.35,""
129,true,29.8,3445547,163,29.26,""
130,true,29.9,3445547,163,28.88,""
131,true,34.6,3445547,164,23.86,""
132,true,28.6,3445547,184,25.55,""
133,true,26.7,3445547,185,25.74,""
134,true,32.3,3445116,169,27.07,""
135,true,33.4,3445116,179,28.62,""
136,true,28.7,3445547,179,25.71,""
137,true,26.2,3445547,185,26.25,""
138,true,26.3,3445547,185,27.42,""
139,true,26.4,3445547,174,28.03,""
140,true,34.1,3445547,167,23.92,""
141,true,27.2,3445547,173,30.18,""
142,true,32.9,3445547,169,27.17,""
143,true,31.7,3445116,180,25.77,""
144,true,31.8,3445547,170,30.50,""
145,true,16.1,3445547,187,30.35,""
146,true,15.1,3445547,188,28.44,""
147,true,30.0,3445547,164,29.44,""
148,true,29.4,3445547,163,27.97,""
149,true,29.3,3445547,163,26.96,""
150,true,28.7,3445547,164,24.03,""
151,true,28.5,3445547,175,27.74,""
152,true,29.4,3445547,174,26.81,""
153,true,29.1,3445547,174,25.66,""
154,true,29.9,3445547,162,27.48,""
155,true,28.7,3445547,164,27.32,""
156,true,30.2,3445547,173,26.41,""
157,true,29.3,3445547,174,27.69,""
158,true,30.2,3445547,173,29.96,""
159,true,29.4,3445547,163,26.52,""
160,true,29.4,3445547,163,29.60,""
161,true,29.3,3445116,174,26.98,""
162,true,30.3,3445547,157,29.63,""
163,true,28.4,3445547,163,26.05,""
164,true,30.5,3445547,162,29.72,""
165,true,29.9,3445547,173,25.90,""
166,true,29.8,3445547,163,29.94,""
167,true,28.5,3445547,174,29.02,""
168,true,29.7,3445547,164,29.80,""
169,true,28.9,3445547,164,24.56,""
170,true,30.0,3445547,163,26.61,""
171,true,37.9,3445116,154,25.99,""
172,true,28.7,3445547,163,30.10,""
173,true,27.4,3445547,170,29.96,""
174,true,31.9,3445547,168,27.13,""
175,true,28.3,3445547,163,25.25,""
176,true,32.4,3445547,171,26.90,""
177,true,28.2,3445116,175,29.84,""
178,true,30.4,3445116,162,30.47,""
179,true,29.8,3445547,164,29.83,""
180,true,39.6,3445547,160,28.83,""
181,true,39.7,3445547,155,29.00,""
182,true,39.8,3445547,155,25.54,""
183,true,31.0,3445547,179,27.86,""
184,true,27.9,3445547,182,26.84,""
185,true,18.6,3445116,198,25.55,""
186,true,27.7,3445547,175,27.78,""
187,true,27.7,3445547,176,25.74,""
188,true,14.3,3445547,188,27.39,""
189,true,7.0,3445116,196,30.49,""
190,true,29.1,3445547,174,29.51,""
191,true,26.1,3445547,174,29.08,""
192,true,25.7,3445116,175,25.40,""
193,true,31.8,3445547,169,30.01,""
194,true,36.8,3445547,163,26.56,""
195,true,26.1,3445547,185,28.69,""
196,true,26.6,3445547,185,27.87,""
197,true,31.9,3445547,169,27.46,""
198,true,31.8,3445547,169,31.00,""
199,true,31.8,3445547,171,25.29,""
200,true,32.9,3445547,167,25.43,""
201,true,32.8,3445547,169,29.59,""
202,true,26.5,3445547,174,26.12,""
203,true,29.1,3445547,172,26.42,""
204,true,26.6,3445547,174,27.82,""
205,true,28.9,3445116,182,27.86,""
206,true,27.5,3445547,174,29.25,""
207,true,27.0,3445547,173,30.83,""
208,true,32.3,3445547,179,27.35,""
209,true,29.3,3445547,182,26.85,""
210,true,28.4,3445547,173,31.52,""
211,true,26.9,3445547,174,26.39,""
212,true,25.3,3445547,175,27.78,""
213,true,26.7,3445547,175,29.86,""
214,true,26.7,3445547,174,28.82,""
215,true,32.7,3445547,169,27.29,""
216,true,27.6,3445547,184,26.90,""
217,true,30.5,3445547,173,29.33,""
218,true,24.8,3445547,163,24.66,""
219,true,24.7,3445547,163,29.65,""
220,true,27.7,3445116,185,24.67,""
221,true,40.3,3445547,154,24.77,""
222,true,40.2,3445547,154,30.06,""
223,true,40.3,3445547,154,30.79,""
224,true,24.3,3445547,186,26.47,""
225,true,25.5,3445116,175,30.50,""
226,true,25.6,3445547,185,27.19,""
227,true,25.9,3445547,174,29.07,""
228,true,25.7,3445547,175,28.21,""
229,true,25.8,3445116,185,26.37,""
230,true,25.9,3445547,185,30.06,""
231,true,24.3,3445547,178,28.56,""
232,true,25.3,3445547,176,25.06,""
233,true,26.9,3445547,176,26.40,""
234,true,25.2,3445116,176,26.39,""
235,true,26.8,3445547,177,25.85,""
236,true,26.8,3445547,175,30.21,""
237,true,29.2,3445547,169,24.58,""
238,true,27.6,3445547,185,27.62,""
239,true,33.5,3445547,169,29.90,""
240,true,29.4,3445547,173,27.86,""
241,true,24.3,3445547,172,27.60,""
242,true,24.1,3445547,172,28.15,""
243,true,29.2,3445547,178,26.28,""
244,true,28.9,3445547,168,29.03,""
245,true,27.9,3445547,169,30.01,""
246,true,27.6,3445116,185,27.99,""
247,true,27.1,3445547,174,28.27,""
248,true,33.8,3445116,178,29.45,""
249,true,13.6,3445547,188,26.27,""
250,true,28.1,3445547,174,27.52,""
251,true,27.3,3445547,175,26.85,""
252,true,19.1,3445547,189,30.49,""
253,true,8.5,3445116,192,25.75,""
254,true,15.1,3445547,188,29.29,""
255,true,29.5,3445547,163,29.08,""
