client,flv_ok,bytes,duration_seconds,err
0,true,3292228,10.064,""
1,true,3292228,10.026,""
2,true,879237,10.281,""
3,true,3292228,10.108,""
4,true,3292228,10.090,""
5,true,3292228,10.039,""
6,true,3292228,10.070,""
7,true,3292228,10.111,""
8,true,3292228,10.113,""
9,true,3292228,10.025,""
10,true,3292228,10.061,""
11,true,1507681,10.132,""
12,true,3292228,10.052,""
13,true,3292228,10.041,""
14,true,3292228,10.081,""
15,true,3136618,10.022,""
16,true,3292228,10.123,""
17,true,2948063,10.107,""
18,true,622120,10.000,""
19,true,3292228,10.068,""
20,true,2717161,10.110,""
21,true,3114319,10.013,""
22,true,3292228,10.114,""
23,true,3292228,10.039,""
24,true,2643743,10.610,""
25,true,889849,10.179,""
26,true,3292228,10.064,""
27,true,2001466,10.137,""
28,true,3292228,10.114,""
29,true,3292228,10.108,""
30,true,3292228,10.102,""
31,true,3292228,10.026,""
32,true,3114319,10.182,""
33,true,712400,10.134,""
34,true,3292228,10.107,""
35,true,2811462,10.401,""
36,true,3114319,10.119,""
37,true,3292228,10.037,""
38,true,3292228,10.025,""
39,true,3292228,10.090,""
40,true,3292228,10.048,""
41,true,3061319,10.136,""
42,true,3292228,10.114,""
43,true,3136618,10.022,""
44,true,3292228,10.033,""
45,true,2811462,11.312,""
46,true,3292228,10.040,""
47,true,1860240,10.027,""
48,true,3145288,9.996,""
49,true,3292228,10.033,""
50,true,2439194,10.137,""
51,true,3292228,10.021,""
52,true,3114319,10.132,""
53,true,3292228,10.092,""
54,true,3292228,10.021,""
55,true,3127865,10.015,""
56,true,3266499,10.005,""
57,true,3292228,10.039,""
58,true,3292228,10.090,""
59,true,3292228,10.020,""
60,true,3292228,10.091,""
61,true,3292228,10.081,""
62,true,1271540,10.684,""
63,true,3292228,10.064,""
64,true,3127865,10.463,""
65,true,3292228,10.081,""
66,true,3292228,10.031,""
67,true,419071,6.965,"unexpected EOF"
68,true,3292228,10.042,""
69,true,2205983,10.418,""
70,true,3114319,9.998,""
71,true,3292228,10.070,""
72,true,3305859,10.110,""
73,true,2167505,10.026,""
74,true,3292228,10.167,""
75,true,3292228,10.047,""
76,true,843990,10.309,""
77,true,3292228,10.073,""
78,true,3292228,10.071,""
79,true,2892549,10.964,""
80,true,3292228,10.024,""
81,true,3246718,10.009,""
82,true,2811462,10.103,""
83,true,512352,10.437,""
