client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
0,true,233.7,10722833,4871,27.29,""
1,true,630.8,10723199,4473,27.47,""
2,true,440.9,10723199,4687,27.10,""
3,true,634.9,10723199,4489,29.49,""
4,true,28.0,10723199,5083,29.47,""
5,true,635.0,10723199,4478,28.77,""
6,true,635.0,10722833,4489,27.36,""
7,true,635.2,10723199,4490,26.31,""
8,true,237.0,10722833,4886,27.73,""
9,true,198.6,10723199,4933,27.76,""
10,true,200.5,10723199,4929,27.77,""
11,true,200.9,10723199,4901,27.45,""
12,true,201.5,10723199,4907,27.84,""
13,true,202.5,10723199,4930,27.37,""
14,true,203.4,10722833,4913,28.95,""
15,true,38.9,10723199,5074,26.62,""
16,true,204.2,10723199,4904,27.66,""
17,true,205.7,10722833,4895,27.01,""
18,true,206.1,10723199,4920,26.56,""
19,true,38.5,10723199,5087,27.13,""
20,true,38.6,10723199,5062,27.07,""
21,true,37.9,10722833,5066,28.64,""
22,true,37.1,10723199,5090,26.89,""
23,true,37.4,10722833,5070,27.56,""
24,true,36.3,10722833,5098,24.63,""
25,true,36.6,10722833,5065,29.07,""
26,true,35.4,10723199,5096,27.62,""
27,true,35.7,10723199,5066,28.95,""
28,true,34.9,10722833,5080,27.05,""
29,true,34.3,10723199,5081,28.29,""
30,true,634.6,10723199,4479,27.09,""
31,true,33.3,10723199,5100,25.66,""
32,true,31.3,10723199,5076,27.36,""
33,true,633.3,10723199,4475,30.25,""
34,true,633.7,10723199,4467,29.53,""
35,true,634.1,10722833,4493,26.85,""
36,true,634.2,10723199,4481,27.86,""
37,true,634.5,10723199,4493,28.53,""
38,true,240.7,10722833,4864,26.51,""
39,true,48.1,10722833,5085,26.28,""
40,true,634.7,10723199,4482,26.35,""
41,true,235.8,10723199,4883,26.98,""
42,true,229.1,10722833,4879,26.34,""
43,true,226.3,10722833,4902,27.50,""
44,true,233.4,10723199,4895,30.33,""
45,true,419.0,10722833,4703,28.69,""
46,true,425.4,10723199,4705,29.39,""
47,true,229.1,10723199,4877,27.69,""
48,true,617.2,10723199,4491,30.82,""
49,true,234.5,10722833,4876,28.54,""
50,true,50.7,10722833,5077,29.53,""
51,true,419.6,10722833,4715,28.10,""
52,true,405.9,10723199,4696,27.25,""
53,true,45.8,10722833,5070,29.98,""
54,true,230.7,10723199,4885,28.41,""
55,true,244.7,10722833,4860,27.51,""
56,true,245.5,10723199,4858,27.87,""
57,true,245.6,10698362,4862,28.25,""
58,true,244.7,10723199,4865,28.35,""
59,true,244.7,10722833,4884,27.34,""
60,true,443.6,10723199,4672,27.77,""
61,true,443.6,10723199,4664,29.33,""
62,true,443.7,10722833,4661,29.74,""
63,true,243.5,10723199,4888,28.05,""
64,true,443.8,10723199,4672,27.91,""
65,true,444.0,10723199,4668,29.95,""
66,true,444.7,10723199,4664,27.63,""
67,true,444.4,10723199,4690,28.36,""
68,true,444.9,10722833,4678,28.85,""
69,true,444.9,10722833,4684,28.58,""
70,true,244.3,10723199,4889,27.67,""
71,true,31.2,10723199,5097,28.61,""
72,true,633.8,10722833,4484,27.42,""
73,true,242.5,10723199,4891,29.10,""
74,true,634.3,10723199,4486,27.25,""
75,true,231.0,10723199,4898,27.53,""
76,true,437.2,10723199,4691,30.30,""
77,true,231.5,10722833,4880,28.66,""
78,true,31.6,10723199,5098,27.30,""
79,true,635.3,10723199,4477,27.79,""
80,true,635.4,10723199,4493,26.38,""
81,true,635.5,10723199,4496,27.25,""
82,true,635.3,10722833,4492,25.87,""
83,true,429.9,10723199,4698,29.27,""
84,true,25.8,10723199,5105,26.17,""
85,true,235.1,10722833,4876,29.36,""
86,true,240.0,10723199,4866,26.68,""
87,true,228.8,10723199,4874,25.50,""
88,true,621.5,10723199,4487,29.45,""
89,true,439.7,10723199,4696,25.76,""
90,true,618.9,10723199,4491,29.56,""
91,true,199.2,10723199,4932,27.46,""
92,true,199.7,10722833,4931,29.07,""
93,true,200.4,10722833,4929,29.15,""
94,true,200.7,10722833,4910,27.78,""
95,true,201.4,10723199,4898,28.27,""
96,true,202.4,10722833,4927,29.26,""
97,true,203.8,10723199,4927,26.91,""
98,true,39.0,10722833,5091,26.47,""
99,true,435.2,10723199,4693,27.27,""
100,true,243.1,10723199,4868,26.79,""
101,true,635.5,10723199,4492,29.06,""
102,true,635.7,10723199,4496,26.90,""
103,true,635.8,10722833,4468,28.40,""
