client,flv_ok,connect_ms,window_bytes,max_stall_ms,cv_percent,err
0,true,116.2,9928338,4975,85.64,""
1,true,106.4,10460033,4949,67.19,""
2,true,57.0,4684125,5032,91.47,""
3,true,106.9,10525626,4969,66.61,""
4,true,49.4,7903970,5023,154.16,""
5,true,79.5,5381433,4977,72.42,""
6,true,49.7,6249643,5028,84.96,""
7,true,49.8,7239282,4975,59.62,""
8,true,50.8,10448929,5018,59.61,""
9,true,32.8,5470651,5037,196.95,""
10,true,106.6,10491713,4936,62.88,""
11,true,51.7,10525626,5025,70.85,""
12,true,106.3,7340106,4941,62.76,""
13,true,106.6,343214,7902,43.90,"unexpected EOF"
14,true,106.3,10176293,4957,59.70,""
15,true,79.2,8674803,4982,93.15,""
16,true,106.7,10433277,4928,96.60,""
17,true,49.2,10525626,5019,95.10,""
18,true,105.7,10370807,4925,60.63,""
19,true,49.3,8274617,5512,77.18,""
20,true,51.5,10470026,5012,54.23,""
21,true,105.9,9541697,4971,59.94,""
22,true,51.3,10285308,5025,72.56,""
23,true,52.2,10161695,5006,65.53,""
24,true,79.4,9813759,4984,77.35,""
25,true,53.0,10448929,5000,79.60,""
26,true,51.4,3074283,5596,58.26,"unexpected EOF"
27,true,52.7,10336071,5013,68.62,""
28,true,50.2,8283893,5008,63.11,""
29,true,33.7,4996972,5015,121.47,""
30,true,33.7,10448929,5032,56.98,""
31,true,32.5,6927976,5027,57.48,""
32,true,77.4,4011133,4999,40.39,""
33,true,52.7,5173881,5018,68.42,""
34,true,78.0,4624564,4986,63.20,""
35,true,79.6,7771149,4968,53.98,""
36,true,80.5,3934101,4981,48.33,""
37,true,53.8,10448929,4982,70.28,""
38,true,32.3,644061,5300,46.37,"unexpected EOF"
39,true,32.3,10448929,4995,67.52,""
40,true,32.5,9951334,5042,136.46,""
41,true,32.5,10525626,5025,90.96,""
42,true,33.1,10525626,5025,70.61,""
43,true,32.4,4456461,5042,47.12,""
44,true,52.0,7264594,4992,77.71,""
45,true,36.4,10470026,5026,68.70,""
46,true,36.3,10470026,5044,66.52,""
47,true,105.0,3898934,4965,39.64,""
48,true,36.2,10506458,5037,78.06,""
49,true,34.9,10470026,5054,58.30,""
50,true,33.8,9928338,5029,81.12,""
51,true,37.3,10470026,5054,67.69,""
52,true,123.0,10525626,4959,65.45,""
53,true,93.3,5258175,4984,47.89,""
54,true,117.6,10218535,4929,80.68,""
55,true,107.8,10470026,4980,59.56,""
56,true,122.2,10525626,4968,58.96,""
57,true,49.2,10311827,5020,76.93,""
58,true,135.8,5461922,4936,43.80,""
59,true,79.0,9983043,5000,73.30,""
60,true,118.7,689,0,0.00,"unexpected EOF"
61,true,77.7,10073006,4955,52.54,""
62,true,79.0,10218535,4984,64.74,""
63,true,78.9,10525085,4952,83.03,""
64,true,78.0,10100132,4984,78.60,""
65,true,78.1,10241797,4984,83.74,""
66,true,78.2,8617659,5000,75.13,""
67,true,78.8,9928338,5001,81.50,""
68,true,79.3,10326309,4987,68.97,""
69,true,79.9,10470026,4986,71.22,""
70,true,80.6,10525626,4988,79.86,""
71,true,108.1,10311827,4954,52.98,""
72,true,107.9,9961336,4967,68.63,""
73,true,108.3,6776933,4959,51.05,""
74,true,126.4,9928338,4928,63.19,""
75,true,102.2,9391690,4956,69.63,""
76,true,103.5,10470026,4942,80.18,""
77,true,104.6,8646809,4970,68.98,""
78,true,103.6,2025443,6509,40.65,"unexpected EOF"
79,true,124.4,10448929,4955,70.73,""
80,true,124.8,10448929,4935,75.22,""
81,true,125.1,10448929,4935,94.15,""
82,true,125.9,5955799,4945,67.19,""
83,true,126.3,10470026,4935,64.05,""
84,true,35.1,10470026,5030,65.13,""
85,true,103.2,10396793,4937,79.77,""
86,true,65.0,9983043,5006,78.34,""
87,true,108.9,10525626,4965,63.34,""
88,true,77.3,8963939,4995,58.22,""
89,true,78.0,10073006,4993,60.31,""
90,true,78.3,5493259,5003,54.83,""
91,true,78.9,3176493,5002,39.79,""
92,true,79.3,9306246,4994,65.25,""
93,true,34.3,10470026,5025,74.27,""
94,true,36.5,5135313,5038,38.84,""
95,true,36.7,10470026,5031,75.54,""
96,true,68.3,6721844,5012,52.45,""
97,true,54.0,10525626,5022,84.34,""
98,true,79.6,5536113,6919,86.92,"unexpected EOF"
99,true,123.1,10525626,4915,76.66,""
100,true,124.1,10013678,4937,71.80,""
101,true,76.5,9983043,4955,85.00,""
102,true,76.7,10100132,4993,64.15,""
103,true,125.2,5612946,4957,65.54,""
104,true,125.5,7304818,4916,87.69,""
105,true,126.0,10470026,4955,75.61,""
106,true,101.8,10470026,4952,66.39,""
107,true,102.3,7109872,4937,67.07,""
108,true,102.6,6571940,4976,106.38,""
109,true,103.0,9265288,4962,65.19,""
110,true,56.2,4770114,5007,84.16,""
111,true,104.7,4573720,5616,65.73,""
112,true,105.2,10491713,4969,61.07,""
113,true,105.6,10285308,4956,59.63,""
114,true,56.9,6239072,6474,74.63,"unexpected EOF"
115,true,35.4,10470026,5035,65.94,""
116,true,106.6,4526018,4957,44.27,""
117,true,103.7,10470026,4972,78.21,""
118,true,104.2,9961336,4976,75.40,""
119,true,105.2,5597119,4978,68.03,""
120,true,105.1,10470026,4979,64.97,""
121,true,107.2,5968900,4968,63.02,""
122,true,107.8,10218535,4949,74.26,""
123,true,108.3,10407991,4975,78.19,""
124,true,109.0,7950205,4957,66.58,""
125,true,94.4,10525626,4985,69.98,""
126,true,96.9,7540623,4969,47.08,""
127,true,97.4,2931615,4936,48.54,""
128,true,41.7,10407991,5030,97.29,""
129,true,98.6,7957798,4938,69.87,""
130,true,99.8,10470026,4974,75.37,""
131,true,53.4,3245589,4991,76.44,"unexpected EOF"
132,true,53.6,10470026,5026,66.40,""
133,true,73.6,10433277,5006,75.38,""
134,true,35.4,10448929,5051,61.91,""
135,true,74.4,10470026,4996,67.38,""
136,true,75.3,10525626,4993,49.52,""
137,true,75.9,10470026,4995,70.94,""
138,true,76.3,8223171,4992,56.76,""
139,true,54.8,5557610,5014,122.34,""
140,true,77.2,10218535,4981,56.09,""
141,true,77.7,7939714,4969,76.28,""
142,true,78.3,10470026,5008,60.98,""
143,true,102.1,10396793,4969,63.50,""
144,true,38.4,10525626,5025,86.12,""
145,true,75.0,4119608,5008,64.66,""
146,true,75.8,5847206,4994,59.85,""
147,true,76.0,8609589,4985,144.92,""
148,true,53.6,10448929,5019,78.30,""
149,true,54.5,8336029,5019,69.16,""
150,true,76.5,10470026,4997,47.29,""
151,true,37.5,9928338,5038,77.29,""
152,true,63.7,10161695,4993,62.03,""
153,true,77.9,10370807,4994,64.11,""
154,true,57.6,3539221,5020,64.07,"unexpected EOF"
155,true,76.4,10470026,4992,62.48,""
156,true,110.9,3951538,4958,42.45,""
157,true,111.9,10448929,4975,90.01,""
158,true,112.2,9457226,4935,55.52,""
159,true,113.7,10126016,4967,54.76,""
160,true,62.0,10344371,4976,66.27,""
161,true,78.4,8807849,4975,77.49,""
162,true,64.0,6420978,5020,56.06,""
163,true,64.1,10470026,5009,93.50,""
164,true,46.6,10470026,5031,64.66,""
165,true,118.3,5093615,4928,51.20,""
166,true,65.3,5597119,4997,42.80,""
167,true,65.4,10470026,5005,53.68,""
168,true,64.0,10241797,5011,67.69,""
169,true,64.8,7264594,4993,65.19,""
170,true,63.7,10448929,4974,86.74,""
171,true,44.3,10470026,5046,72.85,""
172,true,43.9,10470026,5017,80.77,""
173,true,44.9,10448929,5034,79.56,""
174,true,91.9,10470026,4979,75.51,""
175,true,44.8,10448929,5018,85.85,""
176,true,43.6,6182191,5031,47.84,""
177,true,43.2,10525626,5043,63.97,""
178,true,45.3,9408677,5029,86.48,""
179,true,65.1,10470026,5008,102.02,""
180,true,99.6,8889833,4976,56.14,""
181,true,62.3,10063105,5004,65.35,""
182,true,90.3,10052614,4966,62.13,""
183,true,46.1,5267580,5020,73.45,""
184,true,62.5,10470026,5002,72.70,""
185,true,63.2,10100132,5012,60.52,""
186,true,61.8,10470026,5019,73.05,""
187,true,118.1,10100132,4968,71.33,""
188,true,64.9,10470026,5011,63.19,""
189,true,44.3,9951334,5025,66.38,""
190,true,87.0,10470026,4970,79.99,""
191,true,44.0,8128897,4997,90.60,""
192,true,43.2,10470026,5031,72.69,""
193,true,88.1,10470026,4983,60.36,""
194,true,84.4,10506458,4994,65.50,""
195,true,88.9,10470026,4952,72.31,""
196,true,88.8,10470026,4977,61.38,""
197,true,89.1,2518283,6249,45.17,"unexpected EOF"
198,true,110.1,10470026,4967,62.69,""
199,true,36.6,3880637,5013,69.38,"unexpected EOF"
200,true,35.7,10470026,5013,89.88,""
201,true,34.1,10100132,5047,72.32,""
202,true,79.1,10100132,4994,58.19,""
203,true,35.1,5368999,5054,125.58,""
204,true,35.0,9983043,5037,68.82,""
205,true,34.0,10470026,5049,53.62,""
206,true,34.4,4928094,5056,85.60,""
207,true,58.5,10542424,5018,55.51,""
208,true,57.9,10525626,5015,72.06,""
209,true,82.2,5823173,4998,66.07,""
210,true,81.7,10448929,4999,74.16,""
211,true,36.2,10448929,5038,89.21,""
212,true,34.2,5418746,5032,41.82,""
213,true,33.6,10470026,5034,63.33,""
214,true,34.1,5191918,5059,59.03,""
215,true,91.6,10525626,4984,69.37,""
216,true,91.5,10448929,4990,75.84,""
217,true,90.9,10448929,4965,90.45,""
218,true,91.4,10387517,4995,80.06,""
219,true,92.0,10387517,4975,69.09,""
220,true,120.3,10470026,4931,60.33,""
221,true,136.6,10218535,4947,54.64,""
