ts,phase,cpu_percent,rss_mb,goroutines
1777545263,idle-no-pub,0.1,14.8,11
1777545264,idle-no-pub,0.0,15.6,10
1777545266,idle-no-pub,0.0,15.8,11
1777545267,idle-no-pub,0.0,16.0,10
1777545268,idle-no-pub,0.0,16.1,10
1777545269,publish-no-subs,1.0,19.2,11
1777545270,publish-no-subs,0.4,21.2,11
1777545271,publish-no-subs,0.4,23.5,11
1777545272,publish-no-subs,0.4,25.9,11
1777545273,publish-no-subs,0.4,28.5,12
1777545274,subs=1,0.4,31.0,11
1777545275,subs=1,0.5,34.0,13
1777545276,subs=1,0.5,36.4,14
1777545277,subs=1,0.6,38.8,13
1777545278,subs=1,0.7,41.3,13
1777545279,subs=1,0.6,43.7,13
1777545280,subs=1,0.5,46.2,13
1777545281,subs=1,0.5,48.7,13
1777545282,subs=1,0.4,51.0,14
1777545283,subs=1,0.6,53.4,13
1777545284,subs=1,0.5,55.8,11
1777545285,subs=1,0.3,58.2,11
1777545286,subs=4,0.8,60.9,16
1777545287,subs=4,1.1,63.3,15
1777545288,subs=4,0.9,65.8,16
1777545289,subs=4,1.1,68.2,16
1777545291,subs=4,0.9,70.6,16
1777545292,subs=4,1.0,73.0,16
1777545293,subs=4,1.0,75.5,16
1777545294,subs=4,0.8,77.8,16
1777545295,subs=4,0.8,80.2,16
1777545296,subs=4,0.7,82.6,17
1777545297,subs=4,0.4,85.0,11
1777545298,subs=4,0.4,87.4,11
1777545299,subs=16,2.2,89.9,28
1777545300,subs=16,2.2,92.3,28
1777545301,subs=16,2.4,94.5,28
1777545302,subs=16,2.3,96.9,28
1777545303,subs=16,2.3,99.4,28
1777545304,subs=16,2.1,102.5,28
1777545305,subs=16,2.1,105.1,28
1777545306,subs=16,2.0,107.7,28
1777545307,subs=16,2.0,110.2,28
1777545308,subs=16,2.4,112.8,28
1777545309,subs=16,0.3,115.3,11
1777545310,subs=64,0.3,118.5,76
1777545311,subs=64,7.8,122.2,76
1777545312,subs=64,7.3,123.7,76
1777545313,subs=64,7.7,124.8,77
1777545314,subs=64,7.6,125.9,77
1777545315,subs=64,6.7,126.9,77
1777545317,subs=64,5.5,128.0,76
1777545318,subs=64,7.0,129.0,76
1777545319,subs=64,7.0,130.0,76
1777545320,subs=64,6.9,131.0,76
1777545321,subs=64,2.5,132.1,11
1777545322,subs=64,0.5,133.1,12
1777545323,subs=256,17.2,134.4,268
1777545324,subs=256,26.1,135.3,268
1777545325,subs=256,24.2,136.4,268
1777545326,subs=256,25.0,129.6,268
1777545327,subs=256,23.9,90.4,268
1777545328,subs=256,21.8,93.0,269
1777545329,subs=256,29.2,95.6,268
1777545330,subs=256,25.4,97.9,268
1777545331,subs=256,21.7,100.4,268
1777545332,subs=256,23.8,102.7,11
1777545334,subs=256,0.5,104.5,11
1777545335,subs=1024,0.3,107.9,866
1777545336,subs=1024,117.0,120.6,1036
1777545337,subs=1024,124.6,124.7,1037
1777545338,subs=1024,120.2,128.8,1036
1777545339,subs=1024,124.9,134.8,1036
1777545340,subs=1024,105.9,136.1,1037
1777545341,subs=1024,116.5,137.2,1036
1777545342,subs=1024,110.2,135.6,1036
1777545343,subs=1024,113.6,117.5,1037
1777545344,subs=1024,109.7,119.3,1036
1777545345,subs=1024,12.9,122.3,12
1777545346,subs=1024,0.5,124.6,11
1777545347,subs=4096,49.1,166.2,2902
1777545348,subs=4096,37.8,168.8,3917
1777545349,subs=4096,33.0,169.8,4108
1777545350,subs=4096,35.8,170.9,4108
1777545351,subs=4096,41.8,171.9,4109
1777545353,subs=4096,41.3,173.0,4108
1777545375,subs=4096,148.1,188.5,923
1777545376,subs=4096,0.6,190.0,461
1777545377,subs=4096,0.5,190.0,384
1777545378,subs=4096,0.3,190.0,358
1777545379,subs=4096,0.2,190.1,325
1777545380,subs=4096,0.0,146.1,130
1777545381,subs=4096,0.0,146.2,129
1777545382,subs=4096,0.0,146.2,129
1777545383,subs=4096,0.0,146.3,129
1777545384,subs=4096,0.0,146.3,129
1777545385,subs=4096,0.0,146.3,130
1777545386,subs=4096,0.0,146.4,129
1777545387,subs=4096,0.0,146.4,129
1777545388,subs=4096,0.0,146.4,129
1777545389,subs=4096,0.0,146.4,129
1777545390,subs=4096,0.0,146.4,129
1777545391,subs=4096,0.0,146.5,129
1777545392,subs=4096,0.0,146.5,130
1777545393,subs=4096,0.0,146.5,129
1777545394,subs=4096,0.0,146.6,129
1777545395,subs=4096,0.0,146.6,129
1777545396,subs=4096,0.0,146.6,129
1777545397,subs=4096,0.0,146.6,129
1777545399,subs=4096,0.0,146.7,129
1777545400,subs=4096,0.0,146.7,129
1777545401,subs=4096,0.0,146.7,130
1777545402,subs=4096,0.0,146.7,129
1777545403,subs=4096,0.0,124.4,129
1777545404,subs=4096,0.0,124.5,129
1777545405,subs=4096,0.0,124.5,128
1777545406,subs=4096,0.0,124.5,128
1777545407,cooldown,0.0,124.6,128
1777545408,cooldown,0.0,124.6,128
1777545409,cooldown,0.0,124.7,128
1777545410,cooldown,0.0,124.8,128
