ts,phase,cpu_percent,rss_mb,goroutines
1777543166,idle-no-pub,0.0,14.6,10
1777543167,idle-no-pub,0.0,15.0,10
1777543168,idle-no-pub,0.0,15.3,10
1777543169,idle-no-pub,0.0,15.5,10
1777543170,idle-no-pub,0.0,15.6,10
1777543172,publish-no-subs,0.9,18.7,11
1777543173,publish-no-subs,0.7,20.8,11
1777543174,publish-no-subs,0.6,23.2,11
1777543175,publish-no-subs,0.7,25.6,11
1777543176,publish-no-subs,0.8,28.0,11
1777543177,subs=1,0.9,30.5,11
1777543178,subs=1,1.2,33.2,13
1777543179,subs=1,0.9,35.6,13
1777543180,subs=1,0.3,38.1,13
1777543181,subs=1,0.7,40.7,14
1777543182,subs=1,1.1,43.1,13
1777543183,subs=1,0.8,45.4,13
1777543184,subs=1,1.0,47.9,13
1777543185,subs=1,1.3,50.3,13
1777543186,subs=1,1.0,52.6,13
1777543187,subs=1,0.6,54.9,11
1777543188,subs=1,0.5,57.1,12
1777543189,subs=4,1.8,59.9,19
1777543190,subs=4,2.6,62.3,19
1777543191,subs=4,2.4,64.9,19
1777543192,subs=4,2.7,67.3,19
1777543193,subs=4,2.3,69.8,19
1777543194,subs=4,2.1,72.2,20
1777543195,subs=4,1.5,74.5,19
1777543197,subs=4,1.6,76.8,18
1777543198,subs=4,2.3,79.2,19
1777543199,subs=4,1.5,81.5,19
1777543200,subs=4,0.7,83.9,12
1777543201,subs=4,0.6,86.3,11
1777543202,subs=16,5.3,89.2,43
1777543203,subs=16,5.6,91.8,44
1777543204,subs=16,6.2,94.5,43
1777543205,subs=16,7.0,97.0,43
1777543206,subs=16,7.1,99.8,44
1777543207,subs=16,7.1,102.5,43
1777543208,subs=16,4.3,105.2,43
1777543209,subs=16,3.3,107.5,43
1777543210,subs=16,2.8,110.0,44
1777543211,subs=16,2.9,112.5,11
1777543212,subs=16,0.8,114.7,11
1777543213,subs=64,3.4,118.5,139
1777543214,subs=64,24.7,120.8,139
1777543215,subs=64,25.4,121.9,139
1777543216,subs=64,23.8,123.0,139
1777543217,subs=64,27.8,124.0,139
1777543218,subs=64,20.6,125.1,139
1777543220,subs=64,21.4,126.0,139
1777543221,subs=64,14.3,127.0,139
1777543222,subs=64,13.4,128.0,139
1777543223,subs=64,22.1,129.1,139
1777543224,subs=64,2.6,130.1,11
1777543225,subs=64,0.7,131.0,11
1777543226,subs=256,65.3,132.3,523
1777543227,subs=256,73.0,133.4,522
1777543228,subs=256,68.9,134.4,523
1777543229,subs=256,71.9,135.4,523
1777543230,subs=256,79.6,136.4,524
1777543231,subs=256,80.4,137.5,523
1777543232,subs=256,71.4,138.5,523
1777543233,subs=256,55.1,139.5,523
1777543234,subs=256,67.9,140.6,523
1777543235,subs=256,71.5,141.9,523
1777543236,subs=256,2.8,143.0,11
1777543237,subs=256,0.5,144.1,12
1777543239,subs=1024,267.0,171.7,2059
1777543240,subs=1024,317.1,176.4,2060
1777543241,subs=1024,290.5,176.4,2059
1777543242,subs=1024,233.7,183.4,2059
1777543243,subs=1024,278.7,184.9,2059
1777543245,subs=1024,265.8,188.6,2051
1777543246,subs=1024,318.1,192.6,2049
1777543247,subs=1024,241.9,196.8,2045
1777543248,subs=1024,5.7,198.5,19
1777543249,subs=1024,0.4,198.6,11
1777543250,subs=1024,0.5,198.7,11
1777543251,subs=4096,2.7,200.3,819
1777543252,subs=4096,33.4,232.2,4127
1777543253,subs=4096,29.7,232.8,5723
1777543254,subs=4096,30.2,235.7,6357
1777543255,subs=4096,42.7,246.5,6993
1777543258,subs=4096,293.2,260.5,6993
1777543259,subs=4096,72.2,301.6,7231
1777543260,subs=4096,105.4,302.3,7231
1777543261,subs=4096,38.5,310.6,5561
1777543263,subs=4096,23.1,312.1,327
1777543264,subs=4096,2.5,313.2,261
1777543265,subs=4096,6.9,314.2,14
1777543266,subs=4096,1.1,315.2,11
1777543267,subs=4096,1.1,316.4,11
1777543268,subs=4096,0.7,317.5,12
1777543269,subs=4096,1.0,318.7,11
1777543270,subs=4096,0.9,320.1,12
1777543271,subs=4096,0.6,321.3,11
1777543272,subs=4096,0.8,322.5,12
1777543273,subs=4096,0.9,323.8,11
1777543274,subs=4096,1.2,325.4,12
1777543275,subs=4096,1.2,327.0,11
1777543276,subs=4096,0.9,328.5,11
1777543277,subs=4096,1.0,330.0,12
1777543278,subs=4096,1.0,331.5,11
1777543279,subs=4096,0.9,333.0,11
1777543280,subs=4096,1.2,334.7,11
1777543281,subs=4096,0.9,336.2,12
1777543282,subs=4096,0.8,337.8,11
1777543283,cooldown,0.9,339.1,11
1777543284,cooldown,0.9,340.6,11
1777543285,cooldown,0.9,342.3,12
1777543287,cooldown,0.5,343.8,11
